,owner_of,number of tokens
13335,0x4735eb38fd11f2f964b5e37e4ce817355c85dd86,45
13419,0x47a931aba7dca4c8a61458797ed58f15170efe90,73
13425,0x47b2efa18736c6c211505aefd321bec3ac3e8779,1972
13431,0x47b78acc6d29428f128eb04b467d316e548e4b89,53
13497,0x481c3452eb02195dde7dafa2fe7e892166dfe261,83
13539,0x485b8ac36535fae56b2910780245dd69dda270bc,494
13555,0x48724944608b7baacd2f7d10bdbc98d429967f7c,9
13597,0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,178
13666,0x4907911cf8911510b89bc7147a25700b2d260f36,533
13672,0x490a4fdc7a1a35b5c2c3e9418dce793fce027bb2,1097
13685,0x4915981c4bc9fddc1802a218447f0114f2f1dbe3,83
13710,0x493491c6de7c6fdc024fd5d8e799b727cfa157b6,174
13723,0x4947b8804e2d484f97c1e11ce565509641986848,947
13732,0x495421d4bf0c6c175f11e39d899ce4760d9a6f48,30
13745,0x49620d1f3ce8f607f9b8f5bd7295ab75785f4bab,56
13770,0x498a1f9f1369fe7978940ba8a42afc06b30c4fda,35
13791,0x49ad94746a9ece748f7af7efd1f33f0474c44478,67
13814,0x49d20f1b85acca6a58c48ce56f5eed980b047c0a,456
13836,0x49f7e12f7b780b8856ef09986b66aa6bfeb39a49,92
13872,0x4a3172c5879ab244d53ed2eef38ddc1bd8acaccb,420
13890,0x4a4f1c998b89c0dc000983ffd997420dad282ca1,177
13926,0x4a7c6899cdcb379e284fbfd045462e751da4c7ce,162
13928,0x4a7e8dcb760c1068bb6a5828c0d0a57a6143daf0,823
13934,0x4a8b9e2c2940fdd39aceb384654dc59acb58c337,230
13959,0x4aadee07458a53e953433105b7a12f35ff999061,160
13973,0x4abc33cf81e0d21f42168d044f7002edd6b80b09,206
14019,0x4b08fa02d3a7d176cde85eda78af8080281647a6,80
14093,0x4b6760682191de7e476b801b7ab42d8e8a5b041a,1821
14170,0x4bd047ca72fa05f0b89ad08fe5ba5ccdc07dffbf,66
14371,0x4ce62a8651a16686ab679b56204a73f90c6b0e68,130
